"Statistic","CensusYear","Sex","Travelling Time","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","09:01 - 09:30","Students at school or college aged 19 years and over","Number","446"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","After 09:30","All persons","Number","3922"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","After 09:30","Population aged 15 years and over at work","Number","3046"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","After 09:30","Children at school aged between 5 and 12 years","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","After 09:30","Students at school or college aged between 13 and 18 years","Number","61"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","After 09:30","Students at school or college aged 19 years and over","Number","812"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","Not stated","All persons","Number","340"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","Not stated","Population aged 15 years and over at work","Number","249"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","Not stated","Children at school aged between 5 and 12 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","Not stated","Students at school or college aged between 13 and 18 years","Number","24"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","Not stated","Students at school or college aged 19 years and over","Number","62"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","All departure times","All persons","Number","25342"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","All departure times","Population aged 15 years and over at work","Number","17635"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","All departure times","Children at school aged between 5 and 12 years","Number","350"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","All departure times","Students at school or college aged between 13 and 18 years","Number","1124"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","All departure times","Students at school or college aged 19 years and over","Number","6233"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","Before 06:30","All persons","Number","4657"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","Before 06:30","Population aged 15 years and over at work","Number","3979"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","Before 06:30","Children at school aged between 5 and 12 years","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","Before 06:30","Students at school or college aged between 13 and 18 years","Number","78"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","Before 06:30","Students at school or college aged 19 years and over","Number","592"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","06:30 - 07:00","All persons","Number","6134"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","06:30 - 07:00","Population aged 15 years and over at work","Number","4432"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","30"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","244"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","06:30 - 07:00","Students at school or college aged 19 years and over","Number","1428"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","07:01 - 07:30","All persons","Number","5704"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","07:01 - 07:30","Population aged 15 years and over at work","Number","3761"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","81"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","325"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","07:01 - 07:30","Students at school or college aged 19 years and over","Number","1537"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","07:31 - 08:00","All persons","Number","3592"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","07:31 - 08:00","Population aged 15 years and over at work","Number","2355"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","59"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","198"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","07:31 - 08:00","Students at school or college aged 19 years and over","Number","980"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","08:01 - 08:30","All persons","Number","2048"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","08:01 - 08:30","Population aged 15 years and over at work","Number","1239"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","54"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","137"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","08:01 - 08:30","Students at school or college aged 19 years and over","Number","618"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","08:31 - 09:00","All persons","Number","1080"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","08:31 - 09:00","Population aged 15 years and over at work","Number","555"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","85"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","47"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","08:31 - 09:00","Students at school or college aged 19 years and over","Number","393"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","09:01 - 09:30","All persons","Number","475"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","09:01 - 09:30","Population aged 15 years and over at work","Number","245"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","26"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1½ hours and over","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","21"
