"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town or Rural Area","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","08:01 - 08:30","All persons","Number","40"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","08:01 - 08:30","Population aged 15 years and over at work","Number","18"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","13"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","08:01 - 08:30","Students at school or college aged 19 years and over","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","08:31 - 09:00","All persons","Number","42"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","08:31 - 09:00","Population aged 15 years and over at work","Number","23"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","10"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","08:31 - 09:00","Students at school or college aged 19 years and over","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","09:01 - 09:30","All persons","Number","26"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","09:01 - 09:30","Population aged 15 years and over at work","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","10"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","09:01 - 09:30","Students at school or college aged 19 years and over","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","After 09:30","All persons","Number","23"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","After 09:30","Population aged 15 years and over at work","Number","22"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","After 09:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","After 09:30","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","After 09:30","Students at school or college aged 19 years and over","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","Not stated","All persons","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","Not stated","Population aged 15 years and over at work","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","Not stated","Children at school aged between 5 and 12 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","Not stated","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","Not stated","Students at school or college aged 19 years and over","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","All departure times","All persons","Number","61919"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","All departure times","Population aged 15 years and over at work","Number","41070"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","All departure times","Children at school aged between 5 and 12 years","Number","12479"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","All departure times","Students at school or college aged between 13 and 18 years","Number","5118"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","All departure times","Students at school or college aged 19 years and over","Number","3252"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","Before 06:30","All persons","Number","133"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","Before 06:30","Population aged 15 years and over at work","Number","124"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","Before 06:30","Children at school aged between 5 and 12 years","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","Before 06:30","Students at school or college aged between 13 and 18 years","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","Before 06:30","Students at school or college aged 19 years and over","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","06:30 - 07:00","All persons","Number","191"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","06:30 - 07:00","Population aged 15 years and over at work","Number","148"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","21"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","06:30 - 07:00","Students at school or college aged 19 years and over","Number","16"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","07:01 - 07:30","All persons","Number","296"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","07:01 - 07:30","Population aged 15 years and over at work","Number","167"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Not stated","State","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","43"
