"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town Size","At Work School or College","UNIT","VALUE"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns under 500 population but with at least 50 inhabited houses","Population aged 15 years and over at work","Number","1061"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns under 500 population but with at least 50 inhabited houses","Children at school aged between 5 and 12 years","Number","3907"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged between 13 and 18 years","Number","1655"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged 19 years and over","Number","311"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Remainder of country","All persons","Number","108101"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Remainder of country","Population aged 15 years and over at work","Number","10207"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Remainder of country","Children at school aged between 5 and 12 years","Number","63428"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Remainder of country","Students at school or college aged between 13 and 18 years","Number","30695"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Remainder of country","Students at school or college aged 19 years and over","Number","3771"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","State","All persons","Number","3457"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","State","Population aged 15 years and over at work","Number","2681"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","State","Children at school aged between 5 and 12 years","Number","427"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","State","Students at school or college aged between 13 and 18 years","Number","261"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","State","Students at school or college aged 19 years and over","Number","88"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Dublin City and suburbs","All persons","Number","362"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Dublin City and suburbs","Population aged 15 years and over at work","Number","299"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Dublin City and suburbs","Children at school aged between 5 and 12 years","Number","43"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Dublin City and suburbs","Students at school or college aged between 13 and 18 years","Number","12"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Dublin City and suburbs","Students at school or college aged 19 years and over","Number","8"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Cork City and suburbs","All persons","Number","106"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Cork City and suburbs","Population aged 15 years and over at work","Number","73"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Cork City and suburbs","Children at school aged between 5 and 12 years","Number","15"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Cork City and suburbs","Students at school or college aged between 13 and 18 years","Number","15"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Cork City and suburbs","Students at school or college aged 19 years and over","Number","3"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Limerick City and suburbs","All persons","Number","48"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Limerick City and suburbs","Population aged 15 years and over at work","Number","31"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Limerick City and suburbs","Children at school aged between 5 and 12 years","Number","6"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Limerick City and suburbs","Students at school or college aged between 13 and 18 years","Number","3"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Limerick City and suburbs","Students at school or college aged 19 years and over","Number","8"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Galway City and suburbs","All persons","Number","47"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Galway City and suburbs","Population aged 15 years and over at work","Number","31"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Galway City and suburbs","Children at school aged between 5 and 12 years","Number","5"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Galway City and suburbs","Students at school or college aged between 13 and 18 years","Number","8"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Galway City and suburbs","Students at school or college aged 19 years and over","Number","3"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Waterford City and suburbs","All persons","Number","28"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Waterford City and suburbs","Population aged 15 years and over at work","Number","23"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Waterford City and suburbs","Children at school aged between 5 and 12 years","Number","3"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Waterford City and suburbs","Students at school or college aged between 13 and 18 years","Number","2"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Waterford City and suburbs","Students at school or college aged 19 years and over","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Towns 10,000 population and over","All persons","Number","425"
