"Statistic","CensusYear","Sex","County of Usual Residence","Travelling Time","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","1½ hours and over","All persons","Number","314"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","1½ hours and over","Population aged 15 years and over at work","Number","209"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","1½ hours and over","Children at school aged between 5 and 12 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","12"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","1½ hours and over","Students at school or college aged 19 years and over","Number","88"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","Not stated","All persons","Number","2106"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","Not stated","Population aged 15 years and over at work","Number","1332"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","Not stated","Children at school aged between 5 and 12 years","Number","422"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","Not stated","Students at school or college aged between 13 and 18 years","Number","222"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","Not stated","Students at school or college aged 19 years and over","Number","130"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","Total time travelling","All persons","Number","24893"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","Total time travelling","Population aged 15 years and over at work","Number","16231"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","Total time travelling","Children at school aged between 5 and 12 years","Number","3296"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","Total time travelling","Students at school or college aged between 13 and 18 years","Number","2250"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","Total time travelling","Students at school or college aged 19 years and over","Number","3116"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","< ¼ hour","All persons","Number","7779"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","< ¼ hour","Population aged 15 years and over at work","Number","4672"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","< ¼ hour","Children at school aged between 5 and 12 years","Number","1549"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","558"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","< ¼ hour","Students at school or college aged 19 years and over","Number","1000"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","¼ hour - < ½ hour","All persons","Number","9945"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","6526"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","1102"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","945"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","1372"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","½ hour - < ¾ hour","All persons","Number","3842"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","2693"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","277"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","458"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","414"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","¾ hour - < 1 hour","All persons","Number","724"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","546"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","32"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","66"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","80"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","1 hour - < 1½ hours","All persons","Number","528"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Galway City","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","416"
